Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
2023-01-24T13:33:42.38Z 158 19.05000 EUR XETR
2023-01-24T13:35:28.48Z 273 19.05500 EUR XETR
2023-01-24T13:35:42.02Z 161 19.04000 EUR XETR
2023-01-24T13:37:08.49Z 254 19.03000 EUR XETR
2023-01-24T13:38:35.27Z 175 19.03000 EUR XETR
2023-01-24T13:39:52.45Z 216 19.02000 EUR XETR
2023-01-24T13:42:18.82Z 132 19.01500 EUR XETR
2023-01-24T13:43:33.40Z 25 19.02000 EUR XETR
2023-01-24T13:44:27.17Z 214 19.02000 EUR XETR
2023-01-24T13:47:11.19Z 194 19.03500 EUR XETR
2023-01-24T13:47:11.20Z 138 19.03500 EUR XETR
2023-01-24T13:47:53.20Z 284 19.02000 EUR XETR
2023-01-24T13:52:09.48Z 60 19.04500 EUR XETR
2023-01-24T13:52:09.48Z 76 19.04500 EUR XETR
2023-01-24T13:53:07.76Z 235 19.05500 EUR XETR
2023-01-24T13:54:11.04Z 190 19.05500 EUR XETR
2023-01-24T13:55:03.82Z 289 19.08000 EUR XETR
2023-01-24T13:56:07.10Z 131 19.10000 EUR XETR
2023-01-24T14:02:07.17Z 89 19.12000 EUR XETR
2023-01-24T14:02:07.17Z 120 19.12000 EUR XETR
2023-01-24T14:02:48.06Z 311 19.12000 EUR XETR
2023-01-24T14:02:48.07Z 217 19.12000 EUR XETR
2023-01-24T14:03:52.39Z 55 19.11500 EUR XETR
2023-01-24T14:03:52.39Z 118 19.11500 EUR XETR
2023-01-24T14:03:54.40Z 249 19.10500 EUR XETR
2023-01-24T14:05:03.13Z 165 19.10500 EUR XETR
2023-01-24T14:06:23.82Z 171 19.11500 EUR XETR
2023-01-24T14:08:27.61Z 223 19.12500 EUR XETR
2023-01-24T14:11:06.45Z 266 19.09500 EUR XETR
2023-01-24T14:12:10.07Z 132 19.08500 EUR XETR
2023-01-24T14:12:52.21Z 111 19.08000 EUR XETR
2023-01-24T14:13:54.48Z 188 19.10000 EUR XETR
2023-01-24T14:16:04.53Z 133 19.11000 EUR XETR
2023-01-24T14:16:17.24Z 256 19.11500 EUR XETR
2023-01-24T14:18:07.01Z 243 19.13000 EUR XETR
2023-01-24T14:18:58.47Z 133 19.11500 EUR XETR
2023-01-24T14:19:43.00Z 182 19.14000 EUR XETR
Frei verwendbar 2023-01-24T14:21:05.57Z 132 19.13000 EUR XETR
2023-01-24T14:22:02.55Z 131 19.11000 EUR XETR
2023-01-24T14:22:52.48Z 131 19.08000 EUR XETR
2023-01-24T14:23:51.56Z 132 19.09000 EUR XETR
