Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 25Jan23 XETR 76,500 18.87362 EUR XETR
2023-01-25T11:47:58.55Z 161 18.98500 EUR XETR
2023-01-25T11:48:08.82Z 131 18.98500 EUR XETR
2023-01-25T11:48:08.89Z 209 18.97500 EUR XETR
2023-01-25T11:50:47.98Z 48 18.98000 EUR XETR
2023-01-25T11:50:47.98Z 117 18.98000 EUR XETR
2023-01-25T11:51:51.02Z 259 18.96500 EUR XETR
2023-01-25T11:52:34.69Z 201 18.96500 EUR XETR
2023-01-25T11:59:14.54Z 213 18.98500 EUR XETR
2023-01-25T12:03:05.96Z 217 18.99500 EUR XETR
Frei verwendbar 2023-01-25T12:03:13.89Z 146 18.98000 EUR XETR
2023-01-25T12:03:29.45Z 1 18.98000 EUR XETR
2023-01-25T12:03:29.45Z 149 18.98500 EUR XETR
2023-01-25T12:05:45.52Z 205 18.98500 EUR XETR
2023-01-25T12:06:42.87Z 282 18.97000 EUR XETR
2023-01-25T12:09:40.10Z 4 18.97000 EUR XETR
2023-01-25T12:09:40.10Z 184 18.97000 EUR XETR
2023-01-25T12:09:55.97Z 193 18.96500 EUR XETR
2023-01-25T12:12:58.98Z 38 18.97500 EUR XETR
2023-01-25T12:12:59.00Z 215 18.98000 EUR XETR
2023-01-25T12:13:15.42Z 200 18.97500 EUR XETR
2023-01-25T12:16:01.43Z 143 18.96500 EUR XETR
2023-01-25T12:16:49.71Z 143 18.96000 EUR XETR
2023-01-25T12:19:45.20Z 262 18.95000 EUR XETR
2023-01-25T12:22:15.92Z 129 18.93000 EUR XETR
2023-01-25T12:24:01.47Z 34 18.93000 EUR XETR
2023-01-25T12:24:03.04Z 225 18.93000 EUR XETR
2023-01-25T12:27:33.16Z 160 18.90500 EUR XETR
2023-01-25T12:29:59.26Z 214 18.91500 EUR XETR
2023-01-25T12:31:43.48Z 17 18.91500 EUR XETR
2023-01-25T12:31:43.48Z 174 18.91500 EUR XETR
2023-01-25T12:36:24.06Z 227 18.91500 EUR XETR
2023-01-25T12:44:10.63Z 317 18.92000 EUR XETR
2023-01-25T12:45:22.98Z 273 18.91500 EUR XETR
2023-01-25T12:45:56.08Z 241 18.92000 EUR XETR
2023-01-25T12:48:10.41Z 245 18.94500 EUR XETR
2023-01-25T12:49:20.50Z 146 18.93500 EUR XETR
2023-01-25T12:49:20.51Z 137 18.93000 EUR XETR
2023-01-25T12:51:01.95Z 179 18.93000 EUR XETR
2023-01-25T12:53:27.15Z 130 18.92500 EUR XETR
2023-01-25T12:54:07.99Z 129 18.92000 EUR XETR
2023-01-25T12:56:34.85Z 238 18.91000 EUR XETR
2023-01-25T13:00:41.72Z 264 18.91000 EUR XETR
2023-01-25T13:02:08.27Z 214 18.90500 EUR XETR
2023-01-25T13:02:08.40Z 171 18.90000 EUR XETR
2023-01-25T13:03:40.92Z 130 18.88000 EUR XETR
2023-01-25T13:05:58.40Z 37 18.87500 EUR XETR
2023-01-25T13:05:58.40Z 225 18.87500 EUR XETR
2023-01-25T13:06:12.84Z 129 18.87000 EUR XETR
2023-01-25T13:08:09.31Z 244 18.88500 EUR XETR
2023-01-25T13:11:03.66Z 253 18.89500 EUR XETR
2023-01-25T13:12:20.68Z 129 18.89000 EUR XETR
2023-01-25T13:14:35.91Z 129 18.89500 EUR XETR
2023-01-25T13:15:54.12Z 296 18.87000 EUR XETR
2023-01-25T13:20:10.67Z 229 18.86500 EUR XETR
2023-01-25T13:20:46.18Z 231 18.85500 EUR XETR
2023-01-25T13:25:10.67Z 292 18.86000 EUR XETR
2023-01-25T13:28:18.70Z 272 18.87000 EUR XETR
2023-01-25T13:29:04.21Z 146 18.86000 EUR XETR
2023-01-25T13:30:53.02Z 277 18.89000 EUR XETR
2023-01-25T13:32:21.39Z 215 18.90000 EUR XETR
2023-01-25T13:33:15.97Z 108 18.89000 EUR XETR
2023-01-25T13:33:15.97Z 267 18.89000 EUR XETR
2023-01-25T13:33:49.71Z 320 18.89000 EUR XETR
2023-01-25T13:34:02.10Z 140 18.89000 EUR XETR
2023-01-25T13:34:35.19Z 175 18.89000 EUR XETR
2023-01-25T13:34:52.59Z 162 18.88500 EUR XETR
2023-01-25T13:35:21.60Z 206 18.87500 EUR XETR
2023-01-25T13:35:33.05Z 9 18.87000 EUR XETR
2023-01-25T13:35:34.12Z 122 18.87000 EUR XETR
2023-01-25T13:36:53.81Z 129 18.85500 EUR XETR
2023-01-25T13:37:36.09Z 153 18.84500 EUR XETR
2023-01-25T13:38:09.55Z 116 18.85000 EUR XETR
2023-01-25T13:40:25.41Z 16 18.85000 EUR XETR
2023-01-25T13:40:25.41Z 153 18.85000 EUR XETR
2023-01-25T13:41:19.12Z 24 18.83000 EUR XETR
2023-01-25T13:41:19.12Z 105 18.83000 EUR XETR
2023-01-25T13:42:31.63Z 129 18.82000 EUR XETR
